CHEMICAL_ELEMENTS_REDUX_0001,"Chemical Elements
Hydrogen","H
1"
CHEMICAL_ELEMENTS_REDUX_0054,"Chemical Elements
Co
27",Cobalt
CHEMICAL_ELEMENTS_REDUX_0055,"Chemical Elements
Nickel","Ni
28"
CHEMICAL_ELEMENTS_REDUX_0056,"Chemical Elements
Ni
28",Nickel
CHEMICAL_ELEMENTS_REDUX_0057,"Chemical Elements
Copper","Cu
29"
CHEMICAL_ELEMENTS_REDUX_0058,"Chemical Elements
Cu
29",Copper
CHEMICAL_ELEMENTS_REDUX_0059,"Chemical Elements
Zinc","Zn
30"
CHEMICAL_ELEMENTS_REDUX_0060,"Chemical Elements
Zn
30",Zinc
CHEMICAL_ELEMENTS_REDUX_0061,"Chemical Elements
Gallium","Ga
31"
CHEMICAL_ELEMENTS_REDUX_0062,"Chemical Elements
Ga
31",Gallium
CHEMICAL_ELEMENTS_REDUX_0063,"Chemical Elements
Germanium","Ge
32"
CHEMICAL_ELEMENTS_REDUX_0064,"Chemical Elements
Ge
32",Germanium
CHEMICAL_ELEMENTS_REDUX_0065,"Chemical Elements
Arsenic","As
33"
CHEMICAL_ELEMENTS_REDUX_0066,"Chemical Elements
As
33",Arsenic
CHEMICAL_ELEMENTS_REDUX_0067,"Chemical Elements
Selenium","Se
34"
CHEMICAL_ELEMENTS_REDUX_0068,"Chemical Elements
Se
34",Selenium
CHEMICAL_ELEMENTS_REDUX_0069,"Chemical Elements
Bromine","Br
35"
CHEMICAL_ELEMENTS_REDUX_0070,"Chemical Elements
Br
35",Bromine
CHEMICAL_ELEMENTS_REDUX_0071,"Chemical Elements
Krypton","Kr
36"
CHEMICAL_ELEMENTS_REDUX_0072,"Chemical Elements
Kr
36",Krypton
CHEMICAL_ELEMENTS_REDUX_0073,"Chemical Elements
Rubidium","Rb
37"
CHEMICAL_ELEMENTS_REDUX_0074,"Chemical Elements
Rb
37",Rubidium
CHEMICAL_ELEMENTS_REDUX_0075,"Chemical Elements
Strontium","Sr
38"
CHEMICAL_ELEMENTS_REDUX_0076,"Chemical Elements
Sr
38",Strontium
CHEMICAL_ELEMENTS_REDUX_0077,"Chemical Elements
Yttrium","Y
39"
CHEMICAL_ELEMENTS_REDUX_0078,"Chemical Elements
Y
39",Yttrium
CHEMICAL_ELEMENTS_REDUX_0079,"Chemical Elements
Zirconium","Zr
40"
CHEMICAL_ELEMENTS_REDUX_0080,"Chemical Elements
Zr
40",Zirconium
CHEMICAL_ELEMENTS_REDUX_0081,"Chemical Elements
Niobium","Nb
41"
CHEMICAL_ELEMENTS_REDUX_0082,"Chemical Elements
Nb
41",Niobium
CHEMICAL_ELEMENTS_REDUX_0083,"Chemical Elements
Molybdenum","Mo
42"
CHEMICAL_ELEMENTS_REDUX_0084,"Chemical Elements
Mo
42",Molybdenum
CHEMICAL_ELEMENTS_REDUX_0085,"Chemical Elements
Technetium","Tc
43"
CHEMICAL_ELEMENTS_REDUX_0086,"Chemical Elements
Tc
43",Technetium
CHEMICAL_ELEMENTS_REDUX_0087,"Chemical Elements
Ruthenium","Ru
44"
CHEMICAL_ELEMENTS_REDUX_0088,"Chemical Elements
Ru
44",Ruthenium
CHEMICAL_ELEMENTS_REDUX_0089,"Chemical Elements
Rhodium","Rh
45"
CHEMICAL_ELEMENTS_REDUX_0090,"Chemical Elements
Rh
45",Rhodium
CHEMICAL_ELEMENTS_REDUX_0091,"Chemical Elements
Palladium","Pd
46"
CHEMICAL_ELEMENTS_REDUX_0092,"Chemical Elements
Pd
46",Palladium
CHEMICAL_ELEMENTS_REDUX_0093,"Chemical Elements
Silver","Ag
47"
CHEMICAL_ELEMENTS_REDUX_0094,"Chemical Elements
Ag
47",Silver
CHEMICAL_ELEMENTS_REDUX_0095,"Chemical Elements
Cadmium","Cd
48"
CHEMICAL_ELEMENTS_REDUX_0096,"Chemical Elements
Cd
48",Cadmium
CHEMICAL_ELEMENTS_REDUX_0097,"Chemical Elements
Indium","In
49"
CHEMICAL_ELEMENTS_REDUX_0098,"Chemical Elements
In
49",Indium
CHEMICAL_ELEMENTS_REDUX_0099,"Chemical Elements
Tin","Sn
50"
CHEMICAL_ELEMENTS_REDUX_0100,"Chemical Elements
Sn
50",Tin
CHEMICAL_ELEMENTS_REDUX_0101,"Chemical Elements
Antimony","Sb
51"
CHEMICAL_ELEMENTS_REDUX_0102,"Chemical Elements
Sb
51",Antimony
CHEMICAL_ELEMENTS_REDUX_0103,"Chemical Elements
Tellurium","Te
52"
CHEMICAL_ELEMENTS_REDUX_0104,"Chemical Elements
Te
52",Tellurium
CHEMICAL_ELEMENTS_REDUX_0105,"Chemical Elements
Iodine","I
53"
CHEMICAL_ELEMENTS_REDUX_0106,"Chemical Elements
I
53",Iodine
CHEMICAL_ELEMENTS_REDUX_0107,"Chemical Elements
Xenon","Xe
54"
CHEMICAL_ELEMENTS_REDUX_0108,"Chemical Elements
Xe
54",Xenon
CHEMICAL_ELEMENTS_REDUX_0109,"Chemical Elements
Cesium","Cs
55"
CHEMICAL_ELEMENTS_REDUX_0110,"Chemical Elements
Cs
55",Cesium
CHEMICAL_ELEMENTS_REDUX_0111,"Chemical Elements
Barium","Ba
56"
CHEMICAL_ELEMENTS_REDUX_0112,"Chemical Elements
Ba
56",Barium
CHEMICAL_ELEMENTS_REDUX_0113,"Chemical Elements
Lanthanum","La
57"
CHEMICAL_ELEMENTS_REDUX_0114,"Chemical Elements
La
57",Lanthanum
CHEMICAL_ELEMENTS_REDUX_0115,"Chemical Elements
Cerium","Ce
58"
CHEMICAL_ELEMENTS_REDUX_0116,"Chemical Elements
Ce
58",Cerium
CHEMICAL_ELEMENTS_REDUX_0117,"Chemical Elements
Praseodymium","Pr
59"
CHEMICAL_ELEMENTS_REDUX_0118,"Chemical Elements
Pr
59",Praseodymium
CHEMICAL_ELEMENTS_REDUX_0119,"Chemical Elements
Neodymium","Nd
60"
CHEMICAL_ELEMENTS_REDUX_0120,"Chemical Elements
Nd
60",Neodymium
CHEMICAL_ELEMENTS_REDUX_0121,"Chemical Elements
Promethium","Pm
61"
CHEMICAL_ELEMENTS_REDUX_0122,"Chemical Elements
Pm
61",Promethium
CHEMICAL_ELEMENTS_REDUX_0123,"Chemical Elements
Samarium","Sm
62"
CHEMICAL_ELEMENTS_REDUX_0124,"Chemical Elements
Sm
62",Samarium
CHEMICAL_ELEMENTS_REDUX_0125,"Chemical Elements
Europium","Eu
63"
CHEMICAL_ELEMENTS_REDUX_0126,"Chemical Elements
Eu
63",Europium
CHEMICAL_ELEMENTS_REDUX_0127,"Chemical Elements
Gadolinium","Gd
64"
CHEMICAL_ELEMENTS_REDUX_0128,"Chemical Elements
Gd
64",Gadolinium
CHEMICAL_ELEMENTS_REDUX_0129,"Chemical Elements
Terbium","Tb
65"
CHEMICAL_ELEMENTS_REDUX_0130,"Chemical Elements
Tb
65",Terbium
CHEMICAL_ELEMENTS_REDUX_0131,"Chemical Elements
Dysprosium","Dy
66"
CHEMICAL_ELEMENTS_REDUX_0132,"Chemical Elements
Dy
66",Dysprosium
CHEMICAL_ELEMENTS_REDUX_0133,"Chemical Elements
Holmium","Ho
67"
CHEMICAL_ELEMENTS_REDUX_0134,"Chemical Elements
Ho
67",Holmium
CHEMICAL_ELEMENTS_REDUX_0135,"Chemical Elements
Erbium","Er
68"
CHEMICAL_ELEMENTS_REDUX_0136,"Chemical Elements
Er
68",Erbium
CHEMICAL_ELEMENTS_REDUX_0137,"Chemical Elements
Thulium","Tm
69"
CHEMICAL_ELEMENTS_REDUX_0138,"Chemical Elements
Tm
69",Thulium
CHEMICAL_ELEMENTS_REDUX_0139,"Chemical Elements
Ytterbium","Yb
70"
CHEMICAL_ELEMENTS_REDUX_0140,"Chemical Elements
Yb
70",Ytterbium
CHEMICAL_ELEMENTS_REDUX_0141,"Chemical Elements
Lutetium","Lu
71"
CHEMICAL_ELEMENTS_REDUX_0142,"Chemical Elements
Lu
71",Lutetium
CHEMICAL_ELEMENTS_REDUX_0143,"Chemical Elements
Hafnium","Hf
72"
CHEMICAL_ELEMENTS_REDUX_0144,"Chemical Elements
Hf
72",Hafnium
CHEMICAL_ELEMENTS_REDUX_0145,"Chemical Elements
Tantalum","Ta
73"
CHEMICAL_ELEMENTS_REDUX_0146,"Chemical Elements
Ta
73",Tantalum
CHEMICAL_ELEMENTS_REDUX_0147,"Chemical Elements
Tungsten","W
74"
CHEMICAL_ELEMENTS_REDUX_0148,"Chemical Elements
W
74",Tungsten
CHEMICAL_ELEMENTS_REDUX_0149,"Chemical Elements
Rhenium","Re
75"
CHEMICAL_ELEMENTS_REDUX_0150,"Chemical Elements
Re
75",Rhenium
CHEMICAL_ELEMENTS_REDUX_0151,"Chemical Elements
Osmium","Os
76"
CHEMICAL_ELEMENTS_REDUX_0152,"Chemical Elements
Os
76",Osmium
CHEMICAL_ELEMENTS_REDUX_0153,"Chemical Elements
Iridium","Ir
77"
CHEMICAL_ELEMENTS_REDUX_0154,"Chemical Elements
Ir
77",Iridium
CHEMICAL_ELEMENTS_REDUX_0155,"Chemical Elements
Platinum","Pt
78"
CHEMICAL_ELEMENTS_REDUX_0156,"Chemical Elements
Pt
78",Platinum
CHEMICAL_ELEMENTS_REDUX_0157,"Chemical Elements
Gold","Au
79"
CHEMICAL_ELEMENTS_REDUX_0158,"Chemical Elements
Au
79",Gold
CHEMICAL_ELEMENTS_REDUX_0159,"Chemical Elements
Mercury","Hg
80"
CHEMICAL_ELEMENTS_REDUX_0160,"Chemical Elements
Hg
80",Mercury
CHEMICAL_ELEMENTS_REDUX_0161,"Chemical Elements
Thallium","Tl
81"
CHEMICAL_ELEMENTS_REDUX_0162,"Chemical Elements
Tl
81",Thallium
CHEMICAL_ELEMENTS_REDUX_0163,"Chemical Elements
Lead","Pb
82"
CHEMICAL_ELEMENTS_REDUX_0164,"Chemical Elements
Pb
82",Lead
CHEMICAL_ELEMENTS_REDUX_0165,"Chemical Elements
Bismuth","Bi
83"
CHEMICAL_ELEMENTS_REDUX_0166,"Chemical Elements
Bi
83",Bismuth
CHEMICAL_ELEMENTS_REDUX_0167,"Chemical Elements
Polonium","Po
84"
CHEMICAL_ELEMENTS_REDUX_0168,"Chemical Elements
Po
84",Polonium
CHEMICAL_ELEMENTS_REDUX_0169,"Chemical Elements
Astatine","At
85"
CHEMICAL_ELEMENTS_REDUX_0170,"Chemical Elements
At
85",Astatine
CHEMICAL_ELEMENTS_REDUX_0171,"Chemical Elements
Radon","Rn
86"
CHEMICAL_ELEMENTS_REDUX_0172,"Chemical Elements
Rn
86",Radon
CHEMICAL_ELEMENTS_REDUX_0173,"Chemical Elements
Francium","Fr
87"
CHEMICAL_ELEMENTS_REDUX_0174,"Chemical Elements
Fr
87",Francium
CHEMICAL_ELEMENTS_REDUX_0175,"Chemical Elements
Radium","Ra
88"
CHEMICAL_ELEMENTS_REDUX_0176,"Chemical Elements
Ra
88",Radium
CHEMICAL_ELEMENTS_REDUX_0177,"Chemical Elements
Actinium","Ac
89"
CHEMICAL_ELEMENTS_REDUX_0178,"Chemical Elements
Ac
89",Actinium
CHEMICAL_ELEMENTS_REDUX_0179,"Chemical Elements
Thorium","Th
90"
CHEMICAL_ELEMENTS_REDUX_0180,"Chemical Elements
Th
90",Thorium
CHEMICAL_ELEMENTS_REDUX_0181,"Chemical Elements
Protactinium","Pa
91"
CHEMICAL_ELEMENTS_REDUX_0182,"Chemical Elements
Pa
91",Protactinium
CHEMICAL_ELEMENTS_REDUX_0183,"Chemical Elements
Uranium","U
92"
CHEMICAL_ELEMENTS_REDUX_0184,"Chemical Elements
U
92",Uranium
CHEMICAL_ELEMENTS_REDUX_0185,"Chemical Elements
Neptunium","Np
93"
CHEMICAL_ELEMENTS_REDUX_0186,"Chemical Elements
Np
93",Neptunium
CHEMICAL_ELEMENTS_REDUX_0187,"Chemical Elements
Plutonium","Pu
94"
CHEMICAL_ELEMENTS_REDUX_0188,"Chemical Elements
Pu
94",Plutonium
CHEMICAL_ELEMENTS_REDUX_0189,"Chemical Elements
Americium","Am
95"
CHEMICAL_ELEMENTS_REDUX_0190,"Chemical Elements
Am
95",Americium
CHEMICAL_ELEMENTS_REDUX_0191,"Chemical Elements
Curium","Cm
96"
CHEMICAL_ELEMENTS_REDUX_0192,"Chemical Elements
Cm
96",Curium
CHEMICAL_ELEMENTS_REDUX_0193,"Chemical Elements
Berkelium","Bk
97"
CHEMICAL_ELEMENTS_REDUX_0194,"Chemical Elements
Bk
97",Berkelium
CHEMICAL_ELEMENTS_REDUX_0195,"Chemical Elements
Californium","Cf
98"
CHEMICAL_ELEMENTS_REDUX_0196,"Chemical Elements
Cf
98",Californium
CHEMICAL_ELEMENTS_REDUX_0197,"Chemical Elements
Einsteinium","Es
99"
CHEMICAL_ELEMENTS_REDUX_0198,"Chemical Elements
Es
99",Einsteinium
CHEMICAL_ELEMENTS_REDUX_0199,"Chemical Elements
Fermium","Fm
100"
CHEMICAL_ELEMENTS_REDUX_0200,"Chemical Elements
Fm
100",Fermium
CHEMICAL_ELEMENTS_REDUX_0201,"Chemical Elements
Mendelevium","Md
101"
CHEMICAL_ELEMENTS_REDUX_0202,"Chemical Elements
Md
101",Mendelevium
CHEMICAL_ELEMENTS_REDUX_0203,"Chemical Elements
Nobelium","No
102"
CHEMICAL_ELEMENTS_REDUX_0204,"Chemical Elements
No
102",Nobelium
CHEMICAL_ELEMENTS_REDUX_0205,"Chemical Elements
Lawrencium","Lr
103"
CHEMICAL_ELEMENTS_REDUX_0206,"Chemical Elements
Lr
103",Lawrencium
CHEMICAL_ELEMENTS_REDUX_0207,"Chemical Elements
Rutherfordium","Rf
104"
CHEMICAL_ELEMENTS_REDUX_0208,"Chemical Elements
Rf
104",Rutherfordium
CHEMICAL_ELEMENTS_REDUX_0209,"Chemical Elements
Dubnium","Db
105"
CHEMICAL_ELEMENTS_REDUX_0210,"Chemical Elements
Db
105",Dubnium
CHEMICAL_ELEMENTS_REDUX_0211,"Chemical Elements
Seaborgium","Sg
106"
CHEMICAL_ELEMENTS_REDUX_0212,"Chemical Elements
Sg
106",Seaborgium
CHEMICAL_ELEMENTS_REDUX_0213,"Chemical Elements
Bohrium","Bh
107"
CHEMICAL_ELEMENTS_REDUX_0214,"Chemical Elements
Bh
107",Bohrium
CHEMICAL_ELEMENTS_REDUX_0215,"Chemical Elements
Hassium","Hs
108"
CHEMICAL_ELEMENTS_REDUX_0216,"Chemical Elements
Hs
108",Hassium
CHEMICAL_ELEMENTS_REDUX_0217,"Chemical Elements
Meitnerium","Mt
109"
CHEMICAL_ELEMENTS_REDUX_0218,"Chemical Elements
Mt
109",Meitnerium
CHEMICAL_ELEMENTS_REDUX_0219,"Chemical Elements
Darmstadtium","Ds
110"
CHEMICAL_ELEMENTS_REDUX_0220,"Chemical Elements
Ds
110",Darmstadtium
CHEMICAL_ELEMENTS_REDUX_0221,"Chemical Elements
Roentgenium","Rg
111"
CHEMICAL_ELEMENTS_REDUX_0222,"Chemical Elements
Rg
111",Roentgenium
CHEMICAL_ELEMENTS_REDUX_0223,"Chemical Elements
Copernicium","Cn
112"
CHEMICAL_ELEMENTS_REDUX_0224,"Chemical Elements
Cn
112",Copernicium
CHEMICAL_ELEMENTS_REDUX_0225,"Chemical Elements
Nihonium","Nh
113"
CHEMICAL_ELEMENTS_REDUX_0226,"Chemical Elements
Nh
113",Nihonium
CHEMICAL_ELEMENTS_REDUX_0227,"Chemical Elements
Flerovium","Fl
114"
CHEMICAL_ELEMENTS_REDUX_0228,"Chemical Elements
Fl
114",Flerovium
CHEMICAL_ELEMENTS_REDUX_0229,"Chemical Elements
Moscovium","Mc
115"
CHEMICAL_ELEMENTS_REDUX_0230,"Chemical Elements
Mc
115",Moscovium
CHEMICAL_ELEMENTS_REDUX_0231,"Chemical Elements
Livermorium","Lv
116"
CHEMICAL_ELEMENTS_REDUX_0232,"Chemical Elements
Lv
116",Livermorium
CHEMICAL_ELEMENTS_REDUX_0233,"Chemical Elements
Tennessine","Ts
117"
CHEMICAL_ELEMENTS_REDUX_0234,"Chemical Elements
Ts
117",Tennessine
CHEMICAL_ELEMENTS_REDUX_0235,"Chemical Elements
Oganesson","Og
118"
CHEMICAL_ELEMENTS_REDUX_0236,"Chemical Elements
Og
118",Oganesson
